Rank,Player,FG%
1.,DeAndre Jordan,.6750
2.,Rudy Gobert,.6540
3.,Clint Capela,.6275
4.,Montrezl Harrell,.6188
5.,Artis Gilmore*,.5990
6.,Deandre Ayton,.5967
7.,Tyson Chandler,.5966
8.,Mason Plumlee,.5952
9.,Steven Adams,.5874
10.,Dwight Howard,.5868
11.,Hassan Whiteside,.5863
12.,Shaquille O'Neal*,.5823
13.,Mark West,.5804
14.,JaVale McGee,.5777
15.,Steve Johnson,.5722
16.,Darryl Dawkins,.5720
17.,James Donaldson,.5706
18.,Amir Johnson,.5697
19.,Bo Outlaw,.5674
20.,Jeff Ruland,.5637
21.,Jonas Valančiūnas,.5612
22.,Kareem Abdul-Jabbar*,.5595
23.,Kevin McHale*,.5537
24.,Bam Adebayo,.5536
25.,Nikola Jokić,.5531
26.,Marcin Gortat,.5514
27.,John Collins,.5506
28.,Bobby Jones*,.5504
29.,Buck Williams,.5492
30.,Domantas Sabonis,.5480
31.,Nenê,.5478
32.,Enes Freedom,.5478
33.,Kenneth Faried,.5463
34.,Larry Nance,.5461
35.,Otis Thorpe,.5457
36.,Cedric Maxwell,.5455
37.,Eddy Curry,.5446
38.,Andre Drummond,.5419
39.,Chris Wilcox,.5409
40.,Charles Barkley*,.5405
41.,Adrian Dantley*,.5402
42.,Wilt Chamberlain*,.5397
43.,Gene Banks,.5387
44.,Robin Lopez,.5375
45.,Swen Nater,.5371
46.,Amar'e Stoudemire,.5369
47.,Giannis Antetokounmpo,.5369
48.,Robert Parish*,.5367
49.,David Lee,.5355
50.,Carl Landry,.5352
51.,Andrew Bogut,.5346
52.,Derrick Favors,.5338
53.,Nick Collison,.5335
54.,Brad Daugherty,.5318
55.,Larry Smith,.5311
56.,Dale Davis,.5299
57.,Calvin Natt,.5281
58.,Brendan Haywood,.5276
59.,Alonzo Mourning*,.5274
60.,Karl-Anthony Towns,.5258
61.,Bill Cartwright,.5250
62.,Kiki Vandeweghe,.5248
63.,Yao Ming*,.5244
64.,Clifford Ray,.5243
65.,Lewis Lloyd,.5241
66.,Maurice Cheeks*,.5234
67.,Mitch Kupchak,.5227
68.,Tree Rollins,.5223
69.,Carlos Boozer,.5211
70.,Samuel Dalembert,.5211
71.,Dennis Rodman*,.5209
72.,James Worthy*,.5209
73.,Bill Walton*,.5208
74.,Magic Johnson*,.5197
75.,Anthony Davis,.5192
76.,Frank Brickowski,.5188
77.,Tristan Thompson,.5187
78.,Bernard King*,.5182
79.,Dikembe Mutombo*,.5182
80.,Marques Johnson,.5181
81.,David Robinson*,.5179
82.,Taj Gibson,.5179
83.,Ruben Patterson,.5170
84.,Karl Malone*,.5161
85.,Walt Bellamy*,.5159
86.,Cliff Levingston,.5157
87.,John Stockton*,.5154
88.,Michael Cage,.5147
89.,Bob Lanier*,.5142
90.,Greg Monroe,.5142
91.,Serge Ibaka,.5131
92.,Orlando Woolridge,.5131
93.,Al Horford,.5130
94.,Chris Gatling,.5127
95.,Alton Lister,.5123
96.,Hakeem Olajuwon*,.5121
97.,Emeka Okafor,.5120
98.,Walter Davis,.5115
99.,Joe Meriweather,.5113
100.,Danny Manning,.5110
101.,George Gervin*,.5109
102.,Brad Davis,.5103
103.,Kenny Carr,.5097
104.,Anthony Mason,.5095
105.,Chris Mullin*,.5090
106.,Wes Unseld*,.5089
107.,Horace Grant,.5086
108.,Tom Owens,.5077
109.,Pau Gasol,.5073
110.,Julius Erving*,.5069
111.,Rik Smits,.5067
112.,Alex English*,.5067
113.,Dan Issel*,.5064
114.,Billy Knight,.5063
115.,Otis Birdsong,.5062
116.,Tim Duncan*,.5058
117.,T.J. Warren,.5057
118.,Terry Dischinger,.5057
119.,Olden Polynice,.5055
120.,J.J. Hickson,.5052
121.,Othella Harrington,.5051
122.,Wayman Tisdale,.5048
123.,LeBron James,.5046
124.,Patrick Ewing*,.5042
125.,Loy Vaught,.5040
126.,Mychal Thompson,.5037
127.,Paul Westphal*,.5037
128.,David Thompson*,.5037
129.,Mark Blount,.5036
130.,Bob McAdoo*,.5030
131.,Antoine Carr,.5027
132.,Thaddeus Young,.5026
133.,Rodney McCray,.5025
134.,Tyrone Hill,.5022
135.,Sidney Moncrief*,.5022
136.,Jusuf Nurkić,.5021
137.,Fred Roberts,.5020
138.,Rasho Nesterović,.5019
139.,Kevin Gamble,.5018
