Rank,Player,FT%
1.,Stephen Curry,.9087
2.,Steve Nash*,.9043
3.,Mark Price,.9039
4.,Rick Barry*,.8998
5.,Damian Lillard,.8951
6.,Peja Stojaković,.8948
7.,Chauncey Billups,.8940
8.,Ray Allen*,.8939
9.,J.J. Redick,.8918
10.,Calvin Murphy*,.8916
11.,Scott Skiles,.8891
12.,Reggie Miller*,.8877
13.,Larry Bird*,.8857
14.,Kevin Durant,.8857
15.,Kyrie Irving,.8845
16.,Bill Sharman*,.8831
17.,Khris Middleton,.8816
18.,Dirk Nowitzki,.8788
19.,Jeff Hornacek,.8770
20.,Kyle Korver,.8769
21.,Danilo Gallinari,.8769
22.,Earl Boykins,.8758
23.,Trae Young,.8757
24.,Ricky Pierce,.8755
25.,Terrell Brandon,.8732
26.,Isaiah Thomas,.8721
27.,Kiki Vandeweghe,.8717
28.,Darrell Armstrong,.8713
29.,Jeff Malone,.8711
30.,Mo Williams,.8708
31.,Kevin Martin,.8704
32.,Chris Paul,.8701
33.,Hersey Hawkins,.8698
34.,Mike Newlin,.8695
35.,Devin Booker,.8681
36.,Micheal Williams,.8680
37.,D.J. Augustin,.8671
38.,Chris Mullin*,.8655
39.,Bojan Bogdanović,.8645
40.,Allan Houston,.8634
41.,Luke Ridnour,.8623
42.,John Long,.8622
43.,Jamal Crawford,.8619
44.,Sam Cassell,.8608
45.,Wally Szczerbiak,.8599
46.,James Harden,.8599
47.,Kawhi Leonard,.8593
48.,Dana Barros,.8578
49.,Fred Brown,.8575
50.,Reggie Jackson,.8570
51.,Ben Gordon,.8567
52.,Jarrett Jack,.8554
53.,Larry Siegfried,.8545
54.,Mario Elie,.8540
55.,Derek Anderson,.8526
56.,Darren Collison,.8525
57.,James Silas,.8521
58.,Klay Thompson,.8519
59.,Randy Foye,.8516
60.,Richard Hamilton,.8515
61.,Walter Davis,.8509
62.,Mitch Richmond*,.8501
63.,Paul George,.8497
64.,Jack Sikma*,.8494
65.,Dolph Schayes*,.8492
66.,Flynn Robinson,.8490
67.,Kelly Tripucka,.8486
68.,Michael Adams,.8486
69.,Danny Granger,.8479
70.,Magic Johnson*,.8479
71.,Spud Webb,.8476
72.,Caron Butler,.8470
73.,Jayson Tatum,.8466
74.,Danny Ainge,.8465
75.,Junior Bridgeman,.8461
76.,Marco Belinelli,.8458
77.,Glen Rice,.8458
78.,Jason Terry,.8453
79.,Steve Smith,.8452
80.,Shai Gilgeous-Alexander,.8447
81.,Jeff Teague,.8444
82.,George Gervin*,.8436
83.,Dell Curry,.8435
84.,Joe Dumars*,.8433
85.,Jack Marin,.8433
86.,Mike Gminski,.8431
87.,Ricky Sobers,.8430
88.,Ricky Rubio,.8426
89.,Brian Winters,.8424
90.,Jimmy Butler,.8422
91.,Lou Williams,.8416
92.,Larry Costello*,.8412
93.,Bryant Stith,.8410
94.,Kevin Johnson,.8406
95.,Kemba Walker,.8402
96.,Eddie Johnson,.8402
97.,Rolando Blackman,.8401
98.,DeMar DeRozan,.8400
99.,Bill Bradley*,.8398
100.,Donovan Mitchell,.8395
101.,Michael Redd,.8382
102.,Oscar Robertson*,.8377
103.,Kobe Bryant*,.8369
104.,Bill Laimbeer,.8368
105.,Dennis Schröder,.8359
106.,Terry Porter,.8359
107.,Adrian Smith,.8356
108.,Nick Young,.8356
109.,Michael Jordan*,.8353
110.,Cuttino Mobley,.8349
111.,Karl-Anthony Towns,.8348
112.,Keith Van Horn,.8346
113.,Allen Leavell,.8338
114.,Jo Jo White*,.8337
115.,Doug Collins,.8332
116.,Nicolas Batum,.8331
117.,Zach LaVine,.8330
118.,Damon Stoudamire,.8329
119.,Byron Scott,.8328
120.,Yao Ming*,.8328
121.,Michael Cooper,.8326
122.,Alex English*,.8319
123.,Jim McMillian,.8317
124.,Brandon Bass,.8316
125.,Derrick Rose,.8308
126.,Tobias Harris,.8308
127.,Sidney Moncrief*,.8305
128.,Kevin Love,.8299
129.,Howard Komives,.8296
130.,Billy Knight,.8295
131.,Jimmy Walker,.8291
132.,Kenny Smith,.8287
133.,Nikola Jokić,.8286
134.,Bob Weiss,.8283
135.,Brad Davis,.8276
136.,Kristaps Porziņģis,.8270
137.,Cazzie Russell,.8268
138.,Manu Ginóbili*,.8266
139.,Reggie Theus,.8262
140.,John Stockton*,.8261
141.,Kenny Sears,.8257
142.,Jordan Clarkson,.8256
143.,Jim Jackson,.8250
144.,Arron Afflalo,.8249
145.,Gordon Hayward,.8248
146.,Reggie Lewis,.8244
147.,Wesley Matthews,.8243
148.,Andrea Bargnani,.8241
149.,Dick Snyder,.8236
150.,Rodney Stuckey,.8236
151.,Purvis Short,.8236
152.,Fred Schaus,.8229
153.,Brent Barry,.8229
154.,Bradley Beal,.8226
155.,Corey Maggette,.8225
156.,Dave Gambee,.8223
157.,Deron Williams,.8218
158.,Jerry Stackhouse,.8215
159.,Frankie Brian,.8214
160.,Leandro Barbosa,.8213
161.,Doug Christie,.8211
162.,Johnny Davis,.8207
163.,Christian Laettner,.8205
164.,Pete Maravich*,.8204
165.,Mike Conley,.8203
166.,Paul Westphal*,.8200
167.,Glenn Robinson,.8196
168.,Phil Ford,.8196
169.,James Posey,.8195
170.,Joel Embiid,.8193
171.,Fred Scolari,.8181
172.,Adrian Dantley*,.8181
173.,Derek Fisher,.8169
174.,David West,.8167
175.,Kevin Grevey,.8166
176.,Sedale Threatt,.8153
177.,Kyle Lowry,.8149
178.,John Havlicek*,.8148
179.,Sleepy Floyd,.8148
180.,Jeff Mullins,.8144
181.,Carmelo Anthony,.8140
182.,Kentavious Caldwell-Pope,.8138
183.,Stu Lantz,.8138
184.,Jerry West*,.8135
185.,LaMarcus Aldridge,.8128
186.,Mike Woodson,.8126
187.,Isaiah Rider,.8124
188.,Willie Naulls,.8122
189.,Thurl Bailey,.8117
190.,Michael Finley,.8114
191.,Eric Gordon,.8110
192.,Bimbo Coles,.8109
193.,Dominique Wilkins*,.8108
194.,Mark Olberding,.8107
195.,Sam Perkins,.8106
196.,Harrison Barnes,.8105
197.,Shareef Abdur-Rahim,.8104
198.,Johnny Newman,.8102
199.,Shawn Marion,.8102
200.,Tiny Archibald*,.8097
201.,Jameer Nelson,.8095
