Rank,Player,PPG
1.,Michael Jordan*,30.12
2.,Wilt Chamberlain*,30.07
3.,Elgin Baylor*,27.36
4.,Kevin Durant,27.27
5.,Joel Embiid,27.20
6.,LeBron James,27.20
7.,Jerry West*,27.03
8.,Allen Iverson*,26.66
9.,Bob Pettit*,26.36
10.,George Gervin*,26.18
11.,Oscar Robertson*,25.68
12.,Damian Lillard,25.20
13.,Karl Malone*,25.02
14.,Kobe Bryant*,24.99
15.,Dominique Wilkins*,24.83
16.,James Harden,24.69
17.,Stephen Curry,24.62
18.,Kareem Abdul-Jabbar*,24.61
19.,Donovan Mitchell,24.59
20.,Larry Bird*,24.29
21.,Adrian Dantley*,24.27
22.,Pete Maravich*,24.24
23.,Anthony Davis,24.00
24.,Devin Booker,23.94
25.,Shaquille O'Neal*,23.69
26.,Kyrie Irving,23.42
27.,Rick Barry*,23.17
28.,George Mikan*,23.13
29.,Karl-Anthony Towns,23.04
30.,Paul Arizin*,22.81
31.,Giannis Antetokounmpo,22.64
32.,Bernard King*,22.49
33.,Jayson Tatum,22.47
34.,Carmelo Anthony,22.45
35.,Russell Westbrook,22.36
36.,Bradley Beal,22.15
37.,Charles Barkley*,22.14
38.,David Thompson*,22.13
39.,Bob McAdoo*,22.05
40.,Dwyane Wade,21.98
41.,Julius Erving*,21.97
42.,Geoff Petrie,21.82
43.,Hakeem Olajuwon*,21.77
44.,Alex English*,21.47
45.,David Robinson*,21.06
46.,DeMar DeRozan,21.03
47.,Mitch Richmond*,21.00
48.,Patrick Ewing*,20.98
49.,Elvin Hayes*,20.96
50.,Billy Cunningham*,20.83
51.,John Havlicek*,20.78
52.,Dirk Nowitzki,20.74
53.,John Drew,20.69
54.,Glenn Robinson,20.69
55.,Chris Webber*,20.68
56.,Gilbert Arenas,20.66
57.,Paul George,20.63
58.,Moses Malone*,20.62
59.,Zach LaVine,20.50
60.,Clyde Drexler*,20.44
61.,Dan Issel*,20.42
62.,Dave Bing*,20.34
63.,World B. Free,20.27
64.,Nikola Jokić,20.22
65.,Lou Hudson*,20.16
66.,Marques Johnson,20.10
67.,Walt Bellamy*,20.08
68.,Bob Lanier*,20.07
