Rank,Player,TS%
1.,Rudy Gobert,.6713
2.,DeAndre Jordan,.6448
3.,Artis Gilmore*,.6433
4.,Nikola Jokić,.6319
5.,Cedric Maxwell,.6294
6.,Stephen Curry,.6266
7.,Tyson Chandler,.6257
8.,Clint Capela,.6247
9.,Karl-Anthony Towns,.6233
10.,Kevin Durant,.6187
11.,James Donaldson,.6177
12.,Adrian Dantley*,.6166
13.,Jonas Valančiūnas,.6155
14.,Reggie Miller*,.6139
15.,Charles Barkley*,.6120
16.,Joel Embiid,.6111
17.,Magic Johnson*,.6095
18.,James Harden,.6095
19.,John Stockton*,.6080
20.,Brent Barry,.6066
21.,Mason Plumlee,.6050
22.,Domantas Sabonis,.6050
23.,Darryl Dawkins,.6048
24.,Giannis Antetokounmpo,.6046
25.,Kevin McHale*,.6045
26.,Steve Nash*,.6045
27.,Bobby Jones*,.6041
28.,Bam Adebayo,.6040
29.,Kawhi Leonard,.6026
30.,Amir Johnson,.6024
31.,Dwight Howard,.6023
32.,Kyle Korver,.6020
33.,J.J. Redick,.6019
34.,Hassan Whiteside,.6017
35.,Steve Johnson,.6002
36.,Mario Elie,.5982
37.,Amar'e Stoudemire,.5966
38.,Yao Ming*,.5960
39.,Bojan Bogdanović,.5952
40.,Kelly Olynyk,.5950
41.,Chris Mullin*,.5938
42.,Kiki Vandeweghe,.5937
43.,Kareem Abdul-Jabbar*,.5924
44.,JaVale McGee,.5923
45.,Mark West,.5919
46.,Danilo Gallinari,.5913
47.,Steven Adams,.5909
48.,Sidney Moncrief*,.5907
49.,Brad Daugherty,.5900
50.,Enes Freedom,.5900
51.,Anthony Davis,.5890
52.,Bill Cartwright,.5881
53.,Damian Lillard,.5880
54.,Shai Gilgeous-Alexander,.5879
55.,Lauri Markkanen,.5878
56.,LeBron James,.5877
57.,Buck Williams,.5872
58.,Brad Davis,.5870
59.,Larry Nance,.5864
60.,Detlef Schrempf,.5858
61.,Shaquille O'Neal*,.5858
62.,Myles Turner,.5856
63.,Mark Price,.5855
64.,Nenê,.5852
65.,Hersey Hawkins,.5851
66.,Kevin Martin,.5849
67.,Kevin Johnson,.5848
68.,Jimmy Butler,.5844
69.,Otis Thorpe,.5842
70.,David Robinson*,.5830
